ENCSR254AGA	ENCFF229CKY	ENCFF981AOU
ENCSR015BGH	ENCFF292YTL	ENCFF498QFP
ENCSR000EPV	ENCFF153UPL	ENCFF354JBY
ENCSR000EPV	ENCFF093TXU	ENCFF991YWM
ENCSR771DAX	ENCFF905EUP	ENCFF328BAN
ENCSR771DAX	ENCFF692AWQ	ENCFF225FYX
ENCSR000EMW	ENCFF587JCC	ENCFF274NDO
ENCSR000EMW	ENCFF997SPC	ENCFF894GUX
ENCSR541AVF	ENCFF507MMD	ENCFF149IUC
ENCSR947VPG	ENCFF171PLZ	ENCFF030GLD
ENCSR000EPM	ENCFF586NXB	ENCFF320CHE
ENCSR000EPM	ENCFF968JMG	ENCFF666JGR
ENCSR000EMD	ENCFF206JOQ	ENCFF695WLT
ENCSR000EMD	ENCFF445THP	ENCFF099PPU
ENCSR000ENS	ENCFF319KPB	ENCFF830QJD
ENCSR000ENS	ENCFF416MCN	ENCFF117RGP
ENCSR515EWI	ENCFF316ZBI	ENCFF109WQI
ENCSR515EWI	ENCFF404BHS	ENCFF724AIN
ENCSR000ENX	ENCFF732GMC	ENCFF969NNQ
ENCSR000ENX	ENCFF626KPV	ENCFF859IBW
ENCSR545KQR	ENCFF093JOU	ENCFF176WVA
ENCSR131JVA	ENCFF028YFU	ENCFF922TBR
ENCSR346JWH	ENCFF348KWA	ENCFF305GOM
ENCSR346JWH	ENCFF481RYG	ENCFF324UBJ
ENCSR000FDI	ENCFF357GRZ	ENCFF953AFG
ENCSR000FDI	ENCFF997JAV	ENCFF958WWO
ENCSR691MQJ	ENCFF575XOL	ENCFF523ELU
ENCSR691MQJ	ENCFF081ZLR	ENCFF923JHL
ENCSR871APX	ENCFF685FBO	ENCFF200VXY
ENCSR000ELY	ENCFF778WJZ	ENCFF882YMD
ENCSR000ELY	ENCFF157LMS	ENCFF127IJN
ENCSR166TEE	ENCFF261AQB	ENCFF016KEV
ENCSR036VRV	ENCFF774DLC	ENCFF842TPR
ENCSR627UDJ	ENCFF341YKJ	ENCFF508ADO
ENCSR958QXU	ENCFF167MLS	ENCFF069GRI
ENCSR729DRB	ENCFF188DIT	ENCFF037YBR
ENCSR804RSI	ENCFF679YLR	ENCFF751LRX
ENCSR405TXU	ENCFF526JXS	ENCFF531MYW
ENCSR405TXU	ENCFF892FYI	ENCFF248FDL
ENCSR664PKM	ENCFF111ABS	ENCFF351UQV
ENCSR664PKM	ENCFF651CGY	ENCFF327NVK
ENCSR874CAK	ENCFF872LXH	ENCFF367ZCY
ENCSR047FNH	ENCFF708ODW	ENCFF304TGP
ENCSR318WOD	ENCFF072MYZ	ENCFF267BLE
ENCSR148MFM	ENCFF940GYF	ENCFF085EFX
ENCSR357RED	ENCFF689AWK	ENCFF779BIA
ENCSR866RCY	ENCFF616KIO	ENCFF530PCA
ENCSR842KCP	ENCFF520VZX	ENCFF274MLZ
ENCSR842KCP	ENCFF032IVX	ENCFF446JBL
ENCSR728BAD	ENCFF406NNO	ENCFF285UPE
ENCSR106RBR	ENCFF431YVH	ENCFF413KYW
ENCSR000EOI	ENCFF330DYP	ENCFF519CAJ
ENCSR000EOI	ENCFF868DEY	ENCFF237PHK
ENCSR281HBB	ENCFF672QYE	ENCFF819IOM
ENCSR000END	ENCFF933PEB	ENCFF102UQK
ENCSR000END	ENCFF699MPT	ENCFF492TUE
ENCSR619DRM	ENCFF957WMA	ENCFF161NZJ
ENCSR956ZHU	ENCFF953UGS	ENCFF884QVN
ENCSR820XRX	ENCFF424HKL	ENCFF643ARA
ENCSR782XFY	ENCFF166PZO	ENCFF540MDC
ENCSR782XFY	ENCFF016BHY	ENCFF268RAG
ENCSR474GZQ	ENCFF759MER	ENCFF773NZF
ENCSR474GZQ	ENCFF650HHD	ENCFF713HOQ
ENCSR774RCO	ENCFF238GSX	ENCFF518IQW
ENCSR214XJO	ENCFF276MYG	ENCFF029QDT
ENCSR645GJD	ENCFF489RAW	ENCFF740DGO
ENCSR270LZE	ENCFF929NGG	ENCFF789PQN
ENCSR314EZY	ENCFF484CFA	ENCFF464NHA
ENCSR314EZY	ENCFF383LHO	ENCFF751CPM
ENCSR805XIF	ENCFF897FXJ	ENCFF130BQK
ENCSR318PRQ	ENCFF936UIY	ENCFF751LHL
ENCSR318PRQ	ENCFF613NWB	ENCFF389VNZ
ENCSR531HPD	ENCFF433YCY	ENCFF824OUT
ENCSR154YPL	ENCFF225YGR	ENCFF207LXN
ENCSR148VUP	ENCFF115UEY	ENCFF833WVM
ENCSR148VUP	ENCFF983QHP	ENCFF681ZQQ
ENCSR850YHJ	ENCFF221YEX	ENCFF047HXB
ENCSR000EOA	ENCFF184MNN	ENCFF130RBG
ENCSR000EOA	ENCFF822XHW	ENCFF484YDT
ENCSR723JLG	ENCFF368ONB	ENCFF125SYT
